distance,1,2,3,4,5,6,7,8,9,10
0,0.56104887,0.43312014,0.46629038,0.55898068,0.55577608,0.50475223,0.54452973,0.55200164,0.49663059,0.52803517
0.379,0.52771536,0.40807084,0.42380241,0.51610321,0.49498675,0.48162835,0.48615639,0.44578391,0.41710895,0.48178751
0.758,0.48877136,0.3794441,0.3720678,0.47122279,0.46776676,0.42723566,0.45505055,0.3994221,0.36895544,0.42930992
1.137,0.43563935,0.34826388,0.33207492,0.44403997,0.43727389,0.40654789,0.42213011,0.37749657,0.33147698,0.40821808
1.517,0.4088377,0.32365456,0.3265228,0.43410023,0.4089953,0.39265115,0.40981237,0.34469845,0.32172359,0.35506503
1.896,0.38572401,0.31074873,0.32909344,0.42887849,0.37173968,0.39943845,0.39818217,0.32468464,0.30870603,0.34739987
2.275,0.38086249,0.29723252,0.34161547,0.44624887,0.35609812,0.38412151,0.39339507,0.32494615,0.32359247,0.32760929
2.654,0.37661237,0.29127918,0.32124906,0.44726536,0.35573611,0.35789578,0.38143688,0.32404955,0.33300306,0.32455615
3.033,0.34292816,0.30310026,0.31903856,0.43111861,0.35747077,0.35769689,0.37749655,0.34055682,0.34353227,0.32847867
3.412,0.33514292,0.29007844,0.31918965,0.43836192,0.33119062,0.34697485,0.38003025,0.3151518,0.33802635,0.32150395
3.792,0.33747476,0.29045202,0.30486693,0.43477869,0.309926,0.33702687,0.37746059,0.31501139,0.34141229,0.3193202
4.171,0.35528195,0.29224074,0.32447995,0.43468383,0.30781107,0.33188387,0.37601434,0.32474905,0.33672279,0.32056712
4.55,0.37032763,0.30542256,0.30243807,0.43028104,0.3192342,0.31857912,0.37802046,0.31336891,0.34494709,0.31366173
4.929,0.37446311,0.29968441,0.32184929,0.4179703,0.32345834,0.33509217,0.37853703,0.31561041,0.35617244,0.29599682
5.308,0.35520128,0.30428021,0.3398748,0.40653555,0.3154086,0.34610928,0.37412636,0.29681655,0.32797526,0.29492415
5.687,0.34657621,0.29668375,0.32348336,0.41965444,0.32087064,0.35045767,0.37443894,0.30077396,0.33960205,0.3072641
6.067,0.34024986,0.29344149,0.31199828,0.41973069,0.33005778,0.33145996,0.37303965,0.30620897,0.32452015,0.30646311
6.446,0.3528185,0.28472107,0.32021418,0.42749996,0.3310296,0.3343041,0.388539,0.30626565,0.3208786,0.30499697
6.825,0.33687439,0.28803213,0.3070764,0.42408304,0.33545016,0.32698458,0.37517638,0.3200522,0.31370527,0.30673292
7.204,0.34877133,0.29392227,0.2922973,0.43086224,0.33042892,0.3268772,0.37117442,0.31841229,0.31187246,0.29774027
7.583,0.3431379,0.28896649,0.30481208,0.43500385,0.3275386,0.32120011,0.3737492,0.32383442,0.30993291,0.3164104
7.962,0.35536177,0.30702489,0.30976605,0.42314581,0.32921615,0.3234476,0.36185778,0.32364763,0.31896762,0.31533585
8.341,0.36545252,0.29801169,0.30715194,0.41719578,0.33465193,0.32623853,0.36221072,0.32325729,0.30262576,0.30402454
8.721,0.34492542,0.28958006,0.31252814,0.41521143,0.34738375,0.32996132,0.36944126,0.32102738,0.33061545,0.29516304
9.1,0.34696344,0.28558503,0.3102483,0.42178529,0.35181573,0.33185212,0.38270409,0.30365185,0.33317446,0.30086273
9.479,0.33440584,0.28152841,0.30672661,0.43351664,0.35698429,0.33706702,0.38034503,0.29900266,0.32784896,0.30145949
9.858,0.33021431,0.29836927,0.29766625,0.42391193,0.3529794,0.33508097,0.37435676,0.29678305,0.30951042,0.30504756
10.237,0.32841322,0.3046026,0.29316038,0.43173823,0.33467705,0.33403986,0.37036507,0.29653056,0.33247382,0.3118855
10.616,0.34380366,0.29354468,0.28675345,0.4160478,0.32095286,0.3558481,0.37692568,0.29059701,0.34461782,0.31050554
10.996,0.34403378,0.28345153,0.30926827,0.41711292,0.3067696,0.34104845,0.37547869,0.3022683,0.33926977,0.31267431
11.375,0.3373321,0.28257717,0.31435263,0.4235829,0.30860017,0.33645729,0.37691027,0.31897267,0.32651834,0.3132336
11.754,0.33764799,0.27632784,0.30738065,0.41291667,0.31605267,0.32534401,0.37537303,0.30408985,0.31689124,0.2860739
12.133,0.3318286,0.27455752,0.30570311,0.41677429,0.31285972,0.31774436,0.37686184,0.30384637,0.30759793,0.2889481
12.512,0.33520067,0.2772646,0.31045113,0.39757808,0.3121654,0.31291884,0.37559389,0.29736791,0.31582675,0.30780747
12.891,0.33632243,0.28428429,0.30365509,0.40274458,0.32752147,0.30594853,0.3736927,0.29262081,0.30768514,0.30913027
13.271,0.34120603,0.27662943,0.30142492,0.40792309,0.32924013,0.31133056,0.37902645,0.31852823,0.30274003,0.30188669
13.65,0.35378655,0.27842455,0.30150357,0.41204669,0.33357733,0.32761952,0.37574725,0.31168005,0.31481036,0.29988842
14.029,0.36146649,0.28894729,0.29663654,0.41591451,0.33368811,0.33627708,0.37476914,0.29103887,0.31306176,0.2856823
14.408,0.3364583,0.27468311,0.29574862,0.41607842,0.33774552,0.34030893,0.36726858,0.28841992,0.30915408,0.29208742
14.787,0.32499529,0.28748975,0.28438565,0.41916691,0.32184702,0.36075207,0.36406055,0.28079494,0.30708072,0.29678563
15.166,0.33033405,0.2885849,0.28124169,0.42425716,0.30659602,0.35113929,0.36794878,0.29463945,0.3077964,0.29700766
15.545,0.32260231,0.2910016,0.29288511,0.41845903,0.29744427,0.3596652,0.3615606,0.29757917,0.31553205,0.29517897
15.925,0.32267704,0.28806173,0.30492695,0.41504692,0.30508177,0.36165498,0.3472705,0.29260664,0.3119747,0.28694609
16.304,0.31992826,0.28469547,0.29462267,0.43085263,0.3112484,0.36375215,0.35676177,0.29619562,0.31971788,0.28270036
16.683,0.3310482,0.26720264,0.29203858,0.4132463,0.30795953,0.3454594,0.35728788,0.29211196,0.31518925,0.28996175
17.062,0.32204101,0.27599346,0.30173746,0.41648609,0.30630824,0.33178023,0.36879921,0.30558161,0.33626872,0.28557269
17.441,0.34970372,0.26350121,0.29915337,0.42899797,0.31003335,0.31930463,0.37093888,0.29779431,0.31398793,0.27457709
17.82,0.34637326,0.27101688,0.30091887,0.43089166,0.32222501,0.32872786,0.37020878,0.29733956,0.33673632,0.27819139
18.2,0.3594463,0.28531465,0.29294513,0.42335535,0.32386146,0.34302796,0.36348161,0.27612256,0.32427658,0.30505131
18.579,0.34830513,0.27898852,0.29354018,0.42557986,0.32466997,0.32786135,0.36054874,0.2911458,0.31855264,0.30068379
18.958,0.3372217,0.27357916,0.29039519,0.42290925,0.3245455,0.33095481,0.36178587,0.30740186,0.33289029,0.29815716
19.337,0.33677249,0.28782654,0.29625053,0.41414751,0.30488535,0.3263431,0.35579687,0.30958669,0.32124546,0.30420254
19.716,0.32220999,0.28230678,0.30180162,0.41390014,0.30610611,0.33361408,0.35434107,0.3053961,0.30789864,0.29693272
20.095,0.3141284,0.26631708,0.30224662,0.42352587,0.30730632,0.33620612,0.36295403,0.29123211,0.32361954,0.29511245
20.475,0.3342394,0.25837903,0.29592041,0.417523,0.31146766,0.33516034,0.36657003,0.28897128,0.31849701,0.27967252
20.854,0.32624103,0.26093892,0.30230457,0.416342,0.30450164,0.32590332,0.36697287,0.29297765,0.31892552,0.27590927
21.233,0.33498328,0.24681154,0.30740652,0.41795769,0.30004339,0.31081421,0.36768535,0.28662543,0.32216562,0.29121991
21.612,0.33848443,0.26035094,0.29497556,0.41633659,0.30994656,0.32915457,0.36724436,0.28475622,0.32213255,0.31013175
21.991,0.33653727,0.27001052,0.2940628,0.42197562,0.31072995,0.34180384,0.35971885,0.28982408,0.31799183,0.29863026
22.37,0.32883526,0.25746147,0.29189576,0.43160794,0.3099831,0.33268501,0.35647193,0.29929766,0.3145277,0.2900648
22.75,0.32905095,0.26770662,0.29252083,0.42901779,0.30808172,0.32823951,0.35637948,0.29906449,0.29449618,0.30698867
23.129,0.32793853,0.26037574,0.29366437,0.42071056,0.31227275,0.32255402,0.35550116,0.30222708,0.31543883,0.29733462
23.508,0.35072443,0.27585426,0.2851318,0.4119248,0.31665677,0.31976029,0.35768045,0.28809013,0.31293696,0.28655636
23.887,0.34665009,0.27891173,0.30100476,0.41323069,0.3054826,0.31091785,0.35630904,0.29267491,0.31258965,0.30764446
24.266,0.34454329,0.27770378,0.2983058,0.41656054,0.2993034,0.32901544,0.36317856,0.30693037,0.29142898,0.30204595
24.645,0.33642518,0.2796485,0.30584179,0.40848447,0.30144345,0.34447898,0.37190598,0.30297038,0.29542386,0.30244316
25.024,0.33083846,0.26037574,0.29110408,0.41319646,0.29729467,0.3334264,0.36602704,0.2977299,0.30041407,0.30646405
25.404,0.33420798,0.26520193,0.28386718,0.40825572,0.29241504,0.33881776,0.3557323,0.30188312,0.30243782,0.28667253
25.783,0.3281763,0.28517625,0.2940659,0.41047182,0.29325895,0.3278987,0.34833739,0.28725537,0.32967425,0.29560991
26.162,0.32272714,0.27439273,0.29411144,0.41060511,0.30620661,0.32813027,0.3551827,0.25294745,0.33049668,0.28360909
26.541,0.33378255,0.27023531,0.27605281,0.40993505,0.30657204,0.3214989,0.36163251,0.26149094,0.32176869,0.29260362
26.92,0.31962596,0.27212643,0.2781029,0.41164802,0.31147451,0.32232525,0.36563815,0.26480295,0.31805949,0.29271885
27.299,0.33614325,0.27651983,0.27857895,0.40614048,0.31522817,0.32758403,0.3660109,0.26736651,0.32853908,0.28228722
27.679,0.33751382,0.27423593,0.29583762,0.39683117,0.31623196,0.31207007,0.37259205,0.28862475,0.29242582,0.27287955
28.058,0.34434628,0.27208003,0.29361263,0.39197628,0.31266216,0.3224429,0.3663565,0.28650176,0.30347225,0.26920061
28.437,0.35292634,0.26400758,0.29417353,0.39587472,0.29360383,0.33878882,0.35700978,0.29746066,0.29926237,0.27851272
28.816,0.34401765,0.25700069,0.27913364,0.40206672,0.28553353,0.3413155,0.36753273,0.26734848,0.30595909,0.28203615
29.195,0.33178784,0.24936103,0.29030102,0.40411231,0.30520167,0.33354965,0.36604685,0.276938,0.31600266,0.28425738
29.574,0.31786562,0.24626036,0.29475099,0.40123756,0.31985771,0.32598642,0.36398717,0.26953459,0.31797378,0.29055476
29.954,0.31472707,0.25776386,0.2861377,0.3970125,0.31997419,0.32984553,0.36982575,0.28053987,0.31853911,0.28005943
30.333,0.33614495,0.27674142,0.28909952,0.39740396,0.31590193,0.34017728,0.37544714,0.27103795,0.31028925,0.28448409
30.712,0.33693044,0.27302879,0.30336325,0.40464247,0.31152019,0.33030586,0.36691123,0.29062407,0.31921119,0.27970718
31.091,0.3305905,0.26550432,0.30959012,0.39137948,0.31482733,0.3386693,0.36511277,0.28231633,0.32236559,0.28105903
31.47,0.32624357,0.26054534,0.28852102,0.39438271,0.31269185,0.33823792,0.37289803,0.29231035,0.31851806,0.28195277
31.849,0.31481198,0.25819184,0.29873114,0.39161604,0.30506349,0.33476443,0.36480312,0.29564555,0.30977655,0.26986576
32.228,0.31285549,0.25894381,0.29567721,0.39589154,0.30930591,0.33218173,0.35817647,0.30074433,0.3481045,0.28210547
32.608,0.32047173,0.26447796,0.29016545,0.38971395,0.31203864,0.32307411,0.35113671,0.2958375,0.33794215,0.29266638
32.987,0.31045911,0.25340885,0.28282195,0.40311923,0.3111776,0.33106966,0.35594949,0.30205832,0.34037035,0.28975939
33.366,0.3223034,0.2614429,0.29061562,0.41769411,0.30789329,0.33682518,0.36185705,0.2947438,0.35367207,0.2862191
33.745,0.33080109,0.25880221,0.29020891,0.40921997,0.29155856,0.3236885,0.3663565,0.29837658,0.36385547,0.28812556
34.124,0.33019818,0.26960654,0.29012302,0.40520445,0.28080006,0.32809665,0.36857908,0.29017319,0.3383451,0.29314604
34.503,0.31574862,0.25753747,0.30181197,0.40505194,0.28666065,0.32729551,0.36559852,0.28312662,0.3384759,0.2860739
34.883,0.32402043,0.26685466,0.29616671,0.40228107,0.29546981,0.3345338,0.36182329,0.29940201,0.33974488,0.28317815
