distance,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8
0,1.88608558,2.97788094,2.13322284,4.29620323,2.35428536,1.39074235,2.358054,3.30629091
0.379,2.5620366,3.62677223,2.91150548,5.09294728,3.03293926,1.47919072,3.41089313,3.61397679
0.758,3.09086402,4.51916959,3.38893064,5.42822198,3.86692344,1.66092901,4.48025028,3.82262034
1.137,3.40429298,5.45181485,3.64496148,5.3824722,4.77371368,2.02482391,5.09122456,4.23215415
1.517,3.93849959,5.79665543,4.15895444,5.08307402,4.9785799,2.49754193,5.4655937,4.62896611
1.896,4.58416452,5.83560729,4.51751842,4.53563524,4.15297207,2.65848391,5.3352185,5.02366734
2.275,4.83990983,5.706891,4.41974676,3.90359154,3.5053762,2.65145668,5.08735932,4.95183461
2.654,4.72314726,4.84277871,4.00707198,3.39762043,3.13054449,2.56583607,4.66807728,4.43451775
3.033,4.23652318,4.24257134,3.52795432,3.16902127,2.84700564,2.5884808,4.45411189,3.84736394
3.412,3.59006838,3.79319933,3.25051793,2.98342624,2.68578205,2.59369203,4.63137889,3.39816513
3.792,3.25037764,3.54631572,2.8270842,2.59301661,2.49344692,2.38610509,4.4278596,3.23818331
4.171,2.83389643,3.32237591,2.3530019,2.19280584,2.09340591,2.09806338,3.92971747,2.88672591
4.55,2.25762485,2.7612775,2.29859614,1.91299886,1.84322536,1.85352756,3.5126421,2.38325941
4.929,1.90283431,2.31057018,2.10381128,1.76364645,1.56047557,1.60450365,2.98769958,2.06983172
5.308,1.71760087,1.92299173,1.63997528,1.6269795,1.25963124,1.39688428,2.76431668,1.85901997
5.687,1.51640857,1.6172601,1.25107274,1.42163242,1.03021104,1.18894063,2.43560431,1.58949964
6.067,1.39160315,1.34374877,0.99613043,1.27362787,0.86524728,1.05147354,2.01362442,1.40352555
6.446,1.33898735,1.20497836,0.80370524,1.20284549,0.77328572,1.06362445,1.81534421,1.21847097
6.825,1.32652238,1.09961433,0.68631183,1.15144355,0.75282852,0.97599977,1.63299474,1.16985105
7.204,1.23540468,1.06242194,0.68721777,1.00254597,0.72785104,0.84684407,1.51020052,1.16494517
7.583,1.07306597,0.97521817,0.68178211,0.82050642,0.6576573,0.79600288,1.30263092,1.07326949
7.962,0.96224185,0.89778574,0.63021356,0.79221788,0.60387746,0.73251463,1.1790181,1.05130014
8.341,0.83895276,0.79973451,0.6244689,0.78305461,0.55905796,0.69179433,1.10143932,0.88895681
8.721,0.77012442,0.71278994,0.60458028,0.69637518,0.55945471,0.66151272,1.01439676,0.79518607
9.1,0.74789848,0.68205418,0.54558159,0.59671631,0.55011546,0.6259615,0.92663525,0.74195807
