distance,1,2,3,4,5,6,7
0,1.54661749,1.61103865,1.52139754,1.67743815,1.62983102,1.51946901,1.46922977
0.379,1.71400806,1.79632045,1.54758152,1.78575565,1.70660158,1.7309189,1.71290637
0.758,1.84824176,2.04269112,1.76760837,2.04080357,1.8661109,1.95594203,1.8709623
1.137,2.02831874,2.32290947,2.00342323,2.25218408,2.15667543,1.97115013,2.03943936
1.517,2.18061668,2.54846935,2.1180641,2.25969151,2.24827137,2.12781756,2.15792616
1.896,2.25135731,2.66804492,2.29031066,2.48704032,2.29397421,2.44333061,2.16509312
2.275,2.55645436,2.73901418,2.34287505,2.7283764,2.4503242,2.46167627,2.30852313
2.654,2.72595879,2.50978257,2.32984151,2.76202567,2.50208036,2.77672921,2.48957563
3.033,2.70132807,2.41752645,2.23841502,2.4406821,2.64556265,2.96586376,2.52637726
3.412,2.6438971,2.58528441,2.20784912,2.3648097,2.6487971,2.86602969,2.38281747
3.792,2.38637167,2.60529954,2.20879378,2.44770222,2.57266241,2.81154582,2.22363896
4.171,2.39395332,2.58829744,2.30962012,2.32893575,2.46617099,2.8520355,2.19369931
4.55,2.3032177,2.50472172,2.45659463,2.29868002,2.14051821,2.76154068,2.27288301
4.929,2.30732336,2.29645088,2.45395706,2.31638217,1.81136062,2.45443688,2.30546687
5.308,2.49242799,2.12448642,2.32720394,2.45869852,1.92948805,2.44647796,2.31536889
5.687,2.44464434,2.10887996,2.23405648,2.42750701,2.19310051,2.22242889,2.4135001
6.067,2.33377881,2.15396455,2.26291078,2.51471471,2.43324571,2.18908071,2.44817987
6.446,2.28854593,2.39017439,2.28617192,2.54164754,2.34053824,2.43669817,2.54667121
6.825,2.22085082,2.54153678,2.2754673,2.51459818,2.1582576,2.67250941,2.49048731
7.204,2.28305245,2.44022852,2.218521,2.31896704,2.17230192,2.61114347,2.45875673
7.583,2.32674651,2.2840205,2.23779304,2.31649163,2.34883465,2.5702769,2.50280968
7.962,2.49910691,2.02323033,2.1843822,2.26276016,2.45228689,2.63333643,2.49840698
8.341,2.49303838,1.95678714,2.15992387,2.29818564,2.3822556,2.52218562,2.23824216
8.721,2.43838948,2.07635619,2.1566877,2.33746725,2.17797472,2.3615583,2.29190838
9.1,2.28932016,2.26085539,1.98323926,2.23048456,1.97731381,2.18257064,2.30995717
9.479,2.19986957,2.29064004,1.80360375,2.23292112,1.85588684,2.28528285,2.29611965
9.858,2.11743201,2.24460328,1.68197145,2.07533565,1.83942421,2.3809955,2.26857764
10.237,2.06573224,2.34215503,1.66276487,1.90379821,1.89731881,2.25801399,2.04379015
10.616,1.98737142,2.35236151,1.70407748,1.86225661,2.033456,2.13701976,2.06653689
10.996,1.84049306,2.31290516,1.86865919,1.89327509,2.12565778,2.22137162,2.18742781
11.375,1.81916165,2.15739497,1.84853133,2.04212073,2.16647891,2.14160618,2.16820128
11.754,1.92056939,1.9030352,1.74181254,2.04240323,2.04735511,2.05699979,2.22774317
12.133,2.00712546,1.70876648,1.6445544,1.92556482,1.99288522,1.91507545,2.1674648
12.512,1.97726148,1.58930831,1.55761272,1.90167946,2.02978596,1.92841375,2.21633249
12.891,1.98527361,1.62033209,1.47044656,2.01290318,1.92134685,2.07938854,2.09640841
13.271,1.98801393,1.67201664,1.42396637,1.96345511,1.78292152,2.09967743,1.94618779
13.65,1.79491644,1.7303403,1.5106181,1.75284795,1.76292402,2.0389674,1.91856466
14.029,1.87488997,1.78043356,1.446671,1.65862719,1.78972587,1.95424843,1.92984881
14.408,1.97631699,1.67139056,1.38796631,1.64646557,1.74631618,1.81638187,1.97768802
14.787,1.75473692,1.65614932,1.42593987,1.75098345,1.69641257,1.92407207,2.14970151
