distance,1,2,3,4,5,6,7,8,9,10,11
0,1.98046009,2.04695549,1.90576825,1.77964113,2.11106915,2.0024038,1.7131821,1.7126657,2.01571592,1.8470478,1.76017292
0.379,2.18309506,2.28946544,1.9437471,1.79417331,2.23378023,2.01280676,1.81748455,1.8759412,2.17512288,2.19681142,2.0280362
0.758,2.37021056,2.46215075,1.87308455,1.8537834,2.30822672,2.09315231,1.94604419,2.05227368,2.39705407,2.38883293,2.16707255
1.137,2.43205511,2.47284794,1.94713852,1.91682231,2.41909917,2.31118924,2.04675871,2.22797352,2.60970983,2.44061216,2.25850857
1.517,2.40270921,2.39025031,2.1502772,2.03624804,2.49410166,2.54149886,2.0945951,2.26213637,2.69255558,2.61715378,2.21794145
1.896,2.41087538,2.37335098,2.30732775,2.20386509,2.51791793,2.50403263,2.13595953,2.32694045,2.70834719,2.79240113,2.25419201
2.275,2.56204502,2.54554637,2.33343844,2.31758852,2.59289682,2.42979198,2.18209334,2.39285806,2.69639511,2.79855572,2.21053027
2.654,2.66194196,2.77604598,2.38312543,2.28173032,2.66281662,2.57520003,2.24647809,2.42706113,2.68885826,2.77051213,2.26135407
3.033,2.62680426,2.8128245,2.35417099,2.23874868,2.61138387,2.4437223,2.41970004,2.51966503,2.637965,2.9618865,2.29423084
3.412,2.60929414,2.74559587,2.25404664,2.22087452,2.58561373,2.4889745,2.54044239,2.56207054,2.49906993,3.2387563,2.34706474
3.792,2.54908941,2.69459989,2.17979353,2.26270081,2.59542505,2.66836514,2.63146489,2.56432685,2.35143615,3.18303467,2.41574107
4.171,2.5166769,2.64801309,2.19000807,2.34074679,2.58529376,2.59478967,2.61506862,2.44920005,2.29667814,2.93157929,2.38173255
4.55,2.55183966,2.73200469,2.19213823,2.35543667,2.58607793,2.53350396,2.49729755,2.43089174,2.48512469,2.81324495,2.29317639
4.929,2.55250529,2.76616699,2.2322176,2.28571555,2.61936983,2.5560144,2.40683983,2.33843411,2.69129179,2.79663596,2.22979804
5.308,2.52698876,2.82522879,2.23818606,2.13377893,2.57763563,2.53379711,2.39342546,2.38578377,2.79374345,2.84459192,2.18546627
5.687,2.44531612,2.92353886,2.241632,2.08338502,2.48110907,2.41737537,2.39881621,2.43428718,2.79211268,2.94150569,2.11895896
